molecule,Compound,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
92_1-wt-1,Oc1ccc([S])c(c1)c2ccccc2,1,0,0,0,0,3,1,1,202.27,1.614,424.581,0,54.674,305.55,64.357,688.555,1.8,1.25,0.0037829,0.0039499,0.8881725,22.394,8.005,10.536,6.419,3.064,-3.073,-3.34,-4.799,3002.1,0.079,3655.401,-1.163,8.42,0.03,2,-0.006,3,100,0,0,22.576,1,0,12,0,12,0,14,0,11.765
92_1-wt-1,Oc1ccc([S])c(c1)c2ccccc2,1,0,0,0,0,3,1,1,202.27,2.698,422.508,0,54.685,305.476,62.347,686.122,1.8,1.25,0.0106087,0.0039693,0.8904265,22.296,7.983,10.59,6.413,3.046,-3.026,-3.34,-4.762,3001.421,0.076,3563.048,-1.163,8.531,0.097,2,-0.013,3,100,0,0,22.572,1,0,12,0,12,0,14,0,13.069
93_0-wt-1,CC(C)SC1=CC(=O)C(=CC1=O)C(C)(C)C,2,0,0,0,0,3,0,0,238.344,2.403,494.45,344.87,76.587,42.448,30.546,853.679,0,4.5,0.0067661,0,0.8801812,26.489,7.272,10.672,5.5,2.132,-2.684,-2.407,-3.673,1860.5,-0.201,1422.71,-2.493,9.226,2.019,0,-0.235,3,100,0,0,52.249,2,0,6,0,6,0,16,0,1.019
93_1-wt-1,CC(C)Sc1cc(O)c(cc1[O])C(C)(C)C,0,0,0,0,0,5,0,0,240.36,1.924,500.057,348.099,77.588,47.317,27.052,860.217,2,2,0.004303,0.0056562,0.8747498,25.513,7.777,11.769,5.578,3.296,-3.742,-3.486,-3.784,1820.241,-0.347,1329.568,-2.303,8.438,0.296,2,0.244,3,100,0,0,39.133,2,0,6,0,6,0,16,0,0.232
94_0-wt-1,CC(C)NC1=CC(=O)C=C(C1=O)C(C)(C)C,0,0,0,0,0,3,0,0,221.299,3.94,492.619,359.263,97.855,35.502,0,836.338,1,5,0.0185617,0.0101498,0.8714479,25.729,7.163,12.205,7.54,1.799,-2.899,-2.161,-3.781,1169.351,-0.476,585.856,-2.91,8.775,1.505,4,-0.163,3,92.387,0,0,64.658,3,0,6,0,6,0,16,0,0.238
94_0-wt-1,CC(C)NC1=CC(=O)C=C(C1=O)C(C)(C)C,0,0,0,0,0,4,0,0,221.299,4.633,488.398,352.018,70.559,65.821,0,831.381,1,3.75,0.0258222,0.0076782,0.8755036,25.178,7.159,11.328,6.098,2.122,-3.037,-2.603,-3.86,2122.194,-0.291,1115.748,-2.204,8.915,1.224,2,0.007,3,100,0,0,51.402,3,0,6,0,6,0,16,0,0.827
94_1-wt-1,CC(C)Nc1cc(O)cc(c1[O])C(C)(C)C,0,0,0,0,0,5,0,-1,223.314,1.979,493.079,355.853,85.963,51.262,0,837.55,3,2.5,0.0046784,0.0087818,0.8714774,24.644,7.657,13.094,7.593,2.497,-3.111,-2.873,-3.856,1516.036,-0.492,775.668,-2.443,7.977,-0.437,7,-0.005,3,100,0,0,50.071,3,0,6,0,6,0,16,1,0.623
94_1-wt-1,CC(C)Nc1cc(O)cc(c1[O])C(C)(C)C,0,0,0,0,0,5,0,-1,223.314,2.977,483.739,340.051,85.907,57.78,0,835.642,3,2.5,0.0106081,0.0089514,0.8869543,24.63,7.776,13.222,7.614,2.5,-2.951,-2.873,-3.637,1517.893,-0.466,776.694,-2.419,8.62,-0.143,6,-0.003,3,100,0,0,50.929,3,0,6,0,6,0,16,0,0.952
95_0-wt-1,CC(C)(C)NC1=CC(=O)C(=CC1=O)C(C)(C)C,0,0,0,0,0,3,0,0,235.325,2.689,507.637,388.135,94.895,24.607,0,880.313,1,5,0.008215,0.0098496,0.875057,27.385,7.519,12.631,7.481,1.969,-3.153,-2.426,-3.671,1247.412,-0.444,628.24,-2.894,8.721,1.478,2,-0.049,3,93.887,0,0,63.757,3,0,6,0,6,0,17,0,0.146
95_0-wt-1,CC(C)(C)NC1=CC(=O)C(=CC1=O)C(C)(C)C,0,0,0,0,0,4,0,0,235.325,6.801,505.524,387.837,89.783,27.903,0,880.932,1,3.75,0.0525103,0.007418,0.8791271,26.799,7.534,12.317,6.012,2.188,-3.372,-2.876,-3.621,1394.714,-0.452,708.796,-2.692,8.999,1.168,1,0.139,3,96.036,0,0,56.064,3,0,6,0,6,0,17,0,0.144
